,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
246,여,30.0,4,2,4,2,4,6,5,4,7,1.0,10,털보네바베큐 미사동본점,5.0
247,여,20.0,6,1,6,5,5,6,2,2,1,0.0,3,롯데백화점 청량리점,4.0
248,여,20.0,7,1,6,3,6,6,3,3,1,3.0,1,일상비일상의틈,4.0
250,여,30.0,5,2,1,3,4,3,2,7,1,0.0,3,청와정 카페&펜션,4.0
251,여,30.0,3,2,5,5,2,4,6,7,5,1.0,21,한강중앙공원,5.0
253,여,30.0,2,2,2,2,5,6,2,7,7,0.0,22,올댓커피 더현대서울점,5.0
257,여,20.0,1,2,1,6,4,3,6,5,4,0.0,28,청계산,5.0
259,남,50.0,4,2,5,2,2,4,5,3,7,0.0,1,이천돌솥밥,5.0
263,여,30.0,2,1,6,2,4,6,6,2,8,2.0,2,김포국제공항 국내선,5.0
264,남,20.0,3,1,1,3,4,2,1,6,1,1.0,23,명동닭한마리 시조점,5.0
265,여,20.0,3,2,1,2,2,3,4,4,1,1.0,2,서울역,5.0
267,여,30.0,2,2,4,3,4,4,1,7,1,2.0,22,힐링닭갈비,5.0
268,남,30.0,1,2,4,6,6,3,2,6,8,0.0,3,수원팔색길 화성성곽길,4.0
270,여,20.0,2,2,5,3,3,3,5,6,3,1.0,22,친구집,4.0
271,남,40.0,2,2,2,6,3,3,5,5,8,0.0,3,화성관광열차안내소 연무대매표소,2.0
272,여,30.0,4,4,2,1,4,6,5,3,2,0.0,3,수원탑동시민농장,3.0
273,남,40.0,2,2,2,2,3,6,2,4,2,2.0,23,롤링힐스호텔,5.0
274,여,30.0,2,2,2,2,2,1,4,3,2,0.0,1,그랜드워커힐서울 컨벤션센터,3.0
275,여,20.0,7,1,1,1,7,7,7,3,9,1.0,9,글래드 여의도,5.0
277,남,20.0,7,1,2,2,4,3,1,7,1,1.0,4,동서울종합터미널,3.0
278,여,30.0,1,1,4,1,7,7,1,7,6,0.0,2,이디야커피 시흥배곧신도시점,5.0
280,여,30.0,4,3,1,3,4,4,1,7,1,1.0,22,LCDC서울,5.0
281,여,30.0,4,2,4,3,2,5,6,1,4,0.0,4,반치앙마이,4.0
283,여,20.0,4,2,2,6,5,5,2,6,3,5.0,2,서울역,5.0
285,남,20.0,1,4,4,1,1,3,1,7,1,4.0,5,워터플레이 수상레저,5.0
286,여,20.0,5,2,1,3,4,5,5,1,3,1.0,3,아브뉴프랑 광명,5.0
287,여,20.0,3,2,2,4,6,2,6,6,2,3.0,22,연하동,3.0
289,남,30.0,6,4,3,3,5,5,3,3,2,1.0,23,안다즈 서울강남,5.0
298,여,30.0,4,1,4,3,5,6,2,2,8,0.0,3,일산호수공원,5.0
304,여,20.0,4,1,1,5,5,6,7,6,3,1.0,1,안국역 3호선,4.0
305,여,20.0,7,1,2,7,6,6,2,3,2,0.0,26,도트블랭킷,4.0
306,남,20.0,2,2,1,6,3,2,6,2,7,1.0,2,허브아일랜드,4.0
307,남,30.0,2,1,2,6,2,3,2,6,3,3.0,1,잠실한강공원,4.0
309,남,30.0,2,3,2,2,6,6,1,7,3,2.0,5,명지반점,5.0
311,남,30.0,1,1,7,4,1,4,4,1,1,0.0,3,화성행궁광장,5.0
315,남,20.0,2,2,2,3,5,4,6,7,2,1.0,1,스타필드 하남,3.0
316,남,30.0,2,1,2,1,5,5,6,6,3,1.0,1,대운이엔지주유소,3.0
318,여,20.0,4,1,4,6,2,6,1,2,1,0.0,10,금융감독원,4.0
322,여,30.0,2,4,2,2,3,3,2,6,8,0.0,3,청계천,4.0
323,남,30.0,1,4,1,4,3,3,2,3,3,1.0,2,카페모굴,3.0
324,여,30.0,6,1,6,2,1,7,1,6,3,1.0,22,폴바셋 송도트리플스트리트점,5.0
328,남,40.0,2,2,3,1,2,6,2,6,1,0.0,21,써브웨이 인천송도트리플스트리트점,3.0
330,여,30.0,4,7,2,5,6,7,7,7,1,0.0,1,경기도남한산성세계유산센터,5.0
331,여,20.0,3,1,1,2,1,1,2,7,2,3.0,3,청년다방 인천삼산점,5.0
332,남,30.0,2,3,3,4,3,5,3,4,2,0.0,3,노원문화의거리,4.0
333,남,30.0,4,3,1,3,1,1,1,7,1,1.0,12,정지영커피로스터즈 화홍문점,4.0
335,남,30.0,1,2,3,4,1,4,7,5,1,0.0,3,카페시차,4.0
336,남,20.0,4,1,2,2,3,5,2,5,2,0.0,7,영빈루,5.0
337,여,20.0,4,1,1,2,3,5,3,6,3,1.0,22,에버랜드,3.0
338,남,20.0,6,1,2,2,1,5,3,4,2,1.0,6,퀸타운호텔,4.0
339,남,30.0,5,1,2,2,4,2,3,6,2,1.0,3,오이도명물등대빵,4.0
342,여,30.0,4,2,4,4,4,5,2,6,4,0.0,6,잠실종합운동장 실내체육관,5.0
344,여,20.0,3,2,4,2,2,4,5,4,10,0.0,1,까르보마마,3.0
349,여,20.0,7,7,5,1,5,5,3,3,7,0.0,11,국립현대미술관 서울관,5.0
353,여,20.0,2,1,4,3,5,6,1,7,1,0.0,1,매니베리머치,5.0
354,남,20.0,1,1,1,3,7,2,6,7,7,1.0,8,어텐디드가든카페,5.0
356,남,20.0,7,1,1,1,7,7,1,4,3,1.0,1,청량리역,5.0
362,남,40.0,1,6,1,4,4,5,5,7,5,1.0,22,낙천지,3.0
366,여,30.0,4,1,4,6,2,4,3,3,1,1.0,6,송도센트럴파크,5.0
368,여,50.0,1,1,1,4,3,4,2,5,3,1.0,1,낙생대공원,5.0
374,여,30.0,6,6,2,7,7,7,1,3,8,1.0,25,남산케이블카,4.0
375,남,20.0,6,2,1,3,5,3,1,7,7,1.0,6,서울특별시 광진구 광장동 워커힐 가는 산책로,4.0
377,여,40.0,4,7,3,6,3,6,6,4,3,1.0,24,구봉양식장,5.0
379,남,20.0,6,4,4,5,4,5,5,4,4,0.0,1,미도인 의정부역점,5.0
381,남,40.0,2,1,6,1,1,6,7,6,2,5.0,27,가평군농협하나로마트 본점,4.0
382,남,40.0,2,2,6,4,2,4,6,1,8,4.0,3,수원화성 국궁체험장,4.0
387,남,20.0,3,2,1,7,5,4,2,7,7,0.0,2,훼미리사우나파크,4.0
390,남,40.0,2,6,2,1,2,2,4,3,6,3.0,5,토종순대가,3.0
394,여,60.0,3,7,5,3,3,4,3,3,2,0.0,4,의정부음악도서관,4.0
397,여,60.0,1,1,7,5,5,6,7,4,3,1.0,3,화성행궁,5.0
399,남,40.0,2,4,6,2,4,5,3,1,3,2.0,3,온더보더 광화문D타워점,3.0
400,여,30.0,7,7,7,7,1,7,4,7,3,3.0,2,월미테마파크,4.0
401,여,30.0,3,3,2,6,2,2,6,4,1,0.0,3,AK플라자 AKTown점,4.0
406,남,50.0,1,1,1,4,4,4,4,6,3,2.0,4,인천차이나타운,4.0
408,여,40.0,1,4,4,1,1,4,1,1,3,4.0,1,동작구민체육센터,4.0
415,남,40.0,2,2,2,4,6,4,2,3,7,2.0,6,일산호수공원,5.0
416,남,60.0,3,4,7,2,2,4,4,4,6,2.0,2,강남면옥 수원점,4.0
418,여,20.0,1,1,4,3,6,2,1,5,3,7.0,22,롯데마트 제타플렉스,5.0
